#,"Date Time, GMT-04:00",Temp,Intensity,Coupler Attached (LGR S/N: 10977419),Host Connected (LGR S/N: 10977419),Coupler Detached (LGR S/N: 10977419),End Of File (LGR S/N: 10977419)
1,7/4/2017 20:00,29.85277778,0,,,,
2,7/4/2017 21:00,29.15222222,0,,,,
3,7/4/2017 22:00,27.96111111,0,,,,
4,7/4/2017 23:00,26.78111111,0,,,,
5,7/5/2017 0:00,25.41611111,0,,,,
6,7/5/2017 1:00,24.255,0,,,,
7,7/5/2017 2:00,23.19611111,0,,,,
8,7/5/2017 3:00,22.14222222,0,,,,
9,7/5/2017 4:00,21.09111111,0,,,,
10,7/5/2017 5:00,20.23388889,0,,,,
11,7/5/2017 6:00,19.37722222,0,,,,
12,7/5/2017 7:00,18.61611111,0,,,,
13,7/5/2017 8:00,20.71,0,,,,
14,7/5/2017 9:00,22.33277778,0,,,,
15,7/5/2017 10:00,22.62111111,0,,,,
16,7/5/2017 11:00,24.64111111,0,,,,
17,7/5/2017 12:00,28.06,0,,,,
18,7/5/2017 13:00,30.35611111,0,,,,
19,7/5/2017 14:00,31.16611111,0,,,,
20,7/5/2017 15:00,27.86222222,400,,,,
21,7/5/2017 16:00,27.76388889,336,,,,
22,7/5/2017 17:00,28.06,448,,,,
23,7/5/2017 18:00,27.86222222,32,,,,
24,7/5/2017 19:00,27.86222222,21,,,,
25,7/5/2017 20:00,27.76388889,7,,,,
26,7/5/2017 21:00,27.665,1,,,,
27,7/5/2017 22:00,27.46777778,0,,,,
28,7/5/2017 23:00,27.27222222,0,,,,
29,7/6/2017 0:00,26.97722222,0,,,,
30,7/6/2017 1:00,26.78111111,0,,,,
31,7/6/2017 2:00,26.585,0,,,,
32,7/6/2017 3:00,26.39,0,,,,
33,7/6/2017 4:00,26.195,0,,,,
34,7/6/2017 5:00,26.09722222,0,,,,
35,7/6/2017 6:00,25.90222222,0,,,,
36,7/6/2017 7:00,25.805,12,,,,
37,7/6/2017 8:00,25.70777778,20,,,,
38,7/6/2017 9:00,25.70777778,32,,,,
39,7/6/2017 10:00,26.09722222,48,,,,
40,7/6/2017 11:00,26.39,59,,,,
41,7/6/2017 12:00,26.68277778,87,,,,
42,7/6/2017 13:00,27.27222222,200,,,,
43,7/6/2017 14:00,27.665,232,,,,
44,7/6/2017 15:00,28.75388889,320,,,,
45,7/6/2017 16:00,28.95277778,448,,,,
46,7/6/2017 17:00,29.55222222,960,,,,
47,7/6/2017 18:00,28.95277778,108,,,,
48,7/6/2017 19:00,28.85277778,47,,,,
49,7/6/2017 20:00,28.75388889,30,,,,
50,7/6/2017 21:00,28.555,5,,,,
51,7/6/2017 22:00,28.35722222,0,,,,
52,7/6/2017 23:00,28.06,0,,,,
53,7/7/2017 0:00,27.86222222,0,,,,
54,7/7/2017 1:00,27.76388889,0,,,,
55,7/7/2017 2:00,27.665,0,,,,
56,7/7/2017 3:00,27.46777778,0,,,,
57,7/7/2017 4:00,27.37,0,,,,
58,7/7/2017 5:00,27.17277778,0,,,,
59,7/7/2017 6:00,26.87888889,0,,,,
60,7/7/2017 7:00,26.585,5,,,,
61,7/7/2017 8:00,26.585,59,,,,
62,7/7/2017 9:00,26.585,100,,,,
63,7/7/2017 10:00,26.78111111,58,,,,
64,7/7/2017 11:00,27.17277778,94,,,,
65,7/7/2017 12:00,27.56722222,168,,,,
66,7/7/2017 13:00,28.555,1024,,,,
67,7/7/2017 14:00,28.85277778,672,,,,
68,7/7/2017 15:00,29.05277778,768,,,,
69,7/7/2017 16:00,29.35222222,1472,,,,
70,7/7/2017 17:00,29.25222222,608,,,,
71,7/7/2017 18:00,29.35222222,119,,,,
72,7/7/2017 19:00,29.05277778,86,,,,
73,7/7/2017 20:00,28.85277778,128,,,,
74,7/7/2017 21:00,28.655,2,,,,
75,7/7/2017 22:00,28.555,0,,,,
76,7/7/2017 23:00,28.45611111,0,,,,
77,7/8/2017 0:00,28.25777778,0,,,,
78,7/8/2017 1:00,28.06,0,,,,
79,7/8/2017 2:00,27.96111111,0,,,,
80,7/8/2017 3:00,27.76388889,0,,,,
81,7/8/2017 4:00,27.56722222,0,,,,
82,7/8/2017 5:00,27.37,0,,,,
83,7/8/2017 6:00,27.17277778,0,,,,
84,7/8/2017 7:00,26.97722222,20,,,,
85,7/8/2017 8:00,26.87888889,49,,,,
86,7/8/2017 9:00,26.87888889,108,,,,
87,7/8/2017 10:00,27.075,136,,,,
88,7/8/2017 11:00,27.27222222,192,,,,
89,7/8/2017 12:00,27.37,288,,,,
90,7/8/2017 13:00,28.06,960,,,,
91,7/8/2017 14:00,28.15888889,1792,,,,
92,7/8/2017 15:00,27.86222222,992,,,,
93,7/8/2017 16:00,27.96111111,368,,,,
94,7/8/2017 17:00,28.555,496,,,,
95,7/8/2017 18:00,27.86222222,125,,,,
96,7/8/2017 19:00,27.96111111,52,,,,
97,7/8/2017 20:00,27.86222222,32,,,,
98,7/8/2017 21:00,27.665,8,,,,
99,7/8/2017 22:00,27.56722222,0,,,,
100,7/8/2017 23:00,27.37,0,,,,
101,7/9/2017 0:00,27.17277778,0,,,,
102,7/9/2017 1:00,26.78111111,0,,,,
103,7/9/2017 2:00,26.585,0,,,,
104,7/9/2017 3:00,26.39,0,,,,
105,7/9/2017 4:00,26.09722222,0,,,,
106,7/9/2017 5:00,25.90222222,0,,,,
107,7/9/2017 6:00,25.70777778,0,,,,
108,7/9/2017 7:00,25.41611111,30,,,,
109,7/9/2017 8:00,25.31888889,40,,,,
110,7/9/2017 9:00,25.41611111,54,,,,
