LK_CODE,surveyor
BEA,1
BEL,2
BOG,2
BRI,2
CAD,1
COL,1
DEE,1
FOR,2
HOU,1
HUD,2
INT,1
LGL,1
LIM,2
LRO,2
MAN,1
MAR,1
NEP,3
ORE,2
PAR,4
PLA,1
PON,2
POS,2
ROU,2
SAN,1
SIL,1
STC,3
STO,3
SUG,2
SUP,4
WIX,1
WTL,1
